Long	Lat	N
42.4166666666667	-11.4583333333333	-27.338024
42.4583333333333	-11.4583333333333	-27.39469
42.5	-11.4583333333333	-27.444311
42.5416666666667	-11.4583333333333	-27.489803
42.5833333333333	-11.4583333333333	-27.5282
42.625	-11.4583333333333	-27.555443
42.6666666666667	-11.4583333333333	-27.572586
42.7083333333333	-11.4583333333333	-27.580601
42.75	-11.4583333333333	-27.573278
42.7916666666667	-11.4583333333333	-27.542097
42.8333333333333	-11.4583333333333	-27.483881
42.875	-11.4583333333333	-27.396837
42.9166666666667	-11.4583333333333	-27.274035
42.9583333333333	-11.4583333333333	-27.108301
43	-11.4583333333333	-26.898088
43.0416666666667	-11.4583333333333	-26.640268
43.0833333333333	-11.4583333333333	-26.323767
43.125	-11.4583333333333	-25.940619
43.1666666666667	-11.4583333333333	-25.497553
43.2083333333333	-11.4583333333333	-25.009745
43.25	-11.4583333333333	-24.501337
43.2916666666667	-11.4583333333333	-24.035168
43.3333333333333	-11.4583333333333	-23.725409
43.375	-11.4583333333333	-23.673311
43.4166666666667	-11.4583333333333	-23.872189
43.4583333333333	-11.4583333333333	-24.203644
43.5	-11.4583333333333	-24.547934
43.5416666666667	-11.4583333333333	-24.878464
43.5833333333333	-11.4583333333333	-25.232121
43.625	-11.4583333333333	-25.617456
43.6666666666667	-11.4583333333333	-25.991087
43.7083333333333	-11.4583333333333	-26.312971
43.75	-11.4583333333333	-26.582777
43.7916666666667	-11.4583333333333	-26.814482
43.8333333333333	-11.4583333333333	-27.007854
43.875	-11.4583333333333	-27.160847
43.9166666666667	-11.4583333333333	-27.287832
43.9583333333333	-11.4583333333333	-27.407051
44	-11.4583333333333	-27.521908
44.0416666666667	-11.4583333333333	-27.627996
44.0833333333333	-11.4583333333333	-27.727915
44.125	-11.4583333333333	-27.826132
44.1666666666667	-11.4583333333333	-27.917866
44.2083333333333	-11.4583333333333	-27.996521
44.25	-11.4583333333333	-28.066879
44.2916666666667	-11.4583333333333	-28.139544
44.3333333333333	-11.4583333333333	-28.216631
44.375	-11.4583333333333	-28.293238
44.4166666666667	-11.4583333333333	-28.368799
44.4583333333333	-11.4583333333333	-28.44573
44.5	-11.4583333333333	-28.519609
44.5416666666667	-11.4583333333333	-28.582407
44.5833333333333	-11.4583333333333	-28.635746
44.625	-11.4583333333333	-28.690851
44.6666666666667	-11.4583333333333	-28.753515
44.7083333333333	-11.4583333333333	-28.81708
44.75	-11.4583333333333	-28.872604
44.7916666666667	-11.4583333333333	-28.919706
44.8333333333333	-11.4583333333333	-28.965359
44.875	-11.4583333333333	-29.016914
44.9166666666667	-11.4583333333333	-29.077372
44.9583333333333	-11.4583333333333	-29.14279
45	-11.4583333333333	-29.203852
45.0416666666667	-11.4583333333333	-29.254585
45.0833333333333	-11.4583333333333	-29.299795
45.125	-11.4583333333333	-29.349323
45.1666666666667	-11.4583333333333	-29.405867
45.2083333333333	-11.4583333333333	-29.464291
45.25	-11.4583333333333	-29.522223
45.2916666666667	-11.4583333333333	-29.583811
45.3333333333333	-11.4583333333333	-29.651989
45.375	-11.4583333333333	-29.724316
45.4166666666667	-11.4583333333333	-29.798002
45.4583333333333	-11.4583333333333	-29.871536
45.5	-11.4583333333333	-29.93911
45.5416666666667	-11.4583333333333	-29.992517
45.5833333333333	-11.4583333333333	-30.033272
45.625	-11.4583333333333	-30.074604
45.6666666666667	-11.4583333333333	-30.125034
45.7083333333333	-11.4583333333333	-30.177534
45.75	-11.4583333333333	-30.2227
45.7916666666667	-11.4583333333333	-30.264786
45.8333333333333	-11.4583333333333	-30.312864
45.875	-11.4583333333333	-30.360861
45.9166666666667	-11.4583333333333	-30.391329
45.9583333333333	-11.4583333333333	-30.400513
46	-11.4583333333333	-30.406219
46.0416666666667	-11.4583333333333	-30.424932
46.0833333333333	-11.4583333333333	-30.451195
46.125	-11.4583333333333	-30.467907
46.1666666666667	-11.4583333333333	-30.470009
46.2083333333333	-11.4583333333333	-30.46821
46.25	-11.4583333333333	-30.472303
46.2916666666667	-11.4583333333333	-30.480429
46.3333333333333	-11.4583333333333	-30.485262
46.375	-11.4583333333333	-30.482887
46.4166666666667	-11.4583333333333	-30.472534
46.4583333333333	-11.4583333333333	-30.453199
46.5	-11.4583333333333	-30.424627
46.5416666666667	-11.4583333333333	-30.388554
46.5833333333333	-11.4583333333333	-30.345736
46.625	-11.4583333333333	-30.294588
46.6666666666667	-11.4583333333333	-30.236685
46.7083333333333	-11.4583333333333	-30.180815
46.75	-11.4583333333333	-30.135168
46.7916666666667	-11.4583333333333	-30.094646
46.8333333333333	-11.4583333333333	-30.041523
46.875	-11.4583333333333	-29.96118
46.9166666666667	-11.4583333333333	-29.852486
46.9583333333333	-11.4583333333333	-29.719666
47	-11.4583333333333	-29.560499
47.0416666666667	-11.4583333333333	-29.369638
47.0833333333333	-11.4583333333333	-29.147583
47.125	-11.4583333333333	-28.892658
47.1666666666667	-11.4583333333333	-28.58456
47.2083333333333	-11.4583333333333	-28.19668
47.25	-11.4583333333333	-27.744129
47.2916666666667	-11.4583333333333	-27.316135
47.3333333333333	-11.4583333333333	-27.042183
47.375	-11.4583333333333	-27.013023
47.4166666666667	-11.4583333333333	-27.229769
47.4583333333333	-11.4583333333333	-27.619747
47.5	-11.4583333333333	-28.086763
47.5416666666667	-11.4583333333333	-28.546144
47.5833333333333	-11.4583333333333	-28.935251
47.625	-11.4583333333333	-29.219358
47.6666666666667	-11.4583333333333	-29.398315
47.7083333333333	-11.4583333333333	-29.500538
47.75	-11.4583333333333	-29.561211
